file,course,source,start,end,text
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:08,6:14,what is going to be the output once you what is going to be the output once you specify these we have the two table for specify these we have the two table for specify these we have the two table for function f now how many such functions function f now how many such functions
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:14,6:25,function f now how many such functions could be there depending on how you could be there depending on how you could be there depending on how you choose f of and f of we will have choose f of and f of we will have choose f of and f of we will have different boolean functions which means
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:25,6:29,different boolean functions which means different boolean functions which means there are two choices to be made one there are two choices to be made one there are two choices to be made one choice for f of amp toys for f of choice for f of amp toys for f of
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:29,6:38,choice for f of amp toys for f of each choice is going to be a boolean each choice is going to be a boolean each choice is going to be a boolean value so there are going to be such value so there are going to be such value so there are going to be such possible choices so let us enumerate all
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:38,6:49,possible choices so let us enumerate all possible choices so let us enumerate all such boolean functions when input x is such boolean functions when input x is such boolean functions when input x is or the output could be both zeros we or the output could be both zeros we
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:49,6:55,or the output could be both zeros we are choosing for both f of and f of are choosing for both f of and f of are choosing for both f of and f of or we could choose for f of and or we could choose for f of and
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:55,7:02,or we could choose for f of and for f of or we could choose for f of for f of or we could choose for f of for f of or we could choose for f of and for f f or we could choose and for f f or we could choose
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:02,7:11,and for f f or we could choose for both so these are the four possible for both so these are the four possible for both so these are the four possible choices for f of and f of each choices for f of and f of each choices for f of and f of each choice will define one boolean function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:11,7:27,choice will define one boolean function choice will define one boolean function so we have for one variable boolean so we have for one variable boolean so we have for one variable boolean functions functions functions music now let us name these functions in now let us name these functions in particular let us look at the first
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:27,7:36,particular let us look at the first particular let us look at the first column in the first column both the column in the first column both the column in the first column both the function values are therefore let me function values are therefore let me function values are therefore let me call this the zero function the function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:36,7:45,call this the zero function the function call this the zero function the function which produces zero irrespective of the which produces zero irrespective of the which produces zero irrespective of the input value similarly look at the last input value similarly look at the last input value similarly look at the last column here f of is and f of is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:45,7:53,column here f of is and f of is column here f of is and f of is also so this is a function which also so this is a function which also so this is a function which produces irrespective of the input produces irrespective of the input produces irrespective of the input value so let me call this function now
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:53,7:59,value so let me call this function now value so let me call this function now the first column these are the th and the first column these are the th and the first column these are the th and the third column respectively so let me the third column respectively so let me
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:59,8:08,the third column respectively so let me consider this first column now which consider this first column now which consider this first column now which corresponds to output values and so corresponds to output values and so corresponds to output values and so when you observe that these reproduce when you observe that these reproduce
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,8:08,8:20,when you observe that these reproduce the input we realize that this function the input we realize that this function the input we realize that this function is nothing but x so this is the identity is nothing but x so this is the identity is nothing but x so this is the identity function f of x equals x the first
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,8:20,8:28,function f of x equals x the first function f of x equals x the first column corresponds to the identity column corresponds to the identity column corresponds to the identity function so let me call it x it function so let me call it x it function so let me call it x it reproduces x when you look at the second
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,8:28,8:35,reproduces x when you look at the second reproduces x when you look at the second column you find that it complements x column you find that it complements x column you find that it complements x when x is it produces and when x is when x is it produces and when x is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,8:35,8:52,when x is it produces and when x is it produces so this is the it produces so this is the it produces so this is the complement of x this we call x bar the complement of x this we call x bar the complement of x this we call x bar the negation of its negation of x
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,8:52,9:01,in words the truth value when x is two in words the truth value when x is two it produces false and when x is false it it produces false and when x is false it it produces false and when x is false it produces two negation of xs denoted
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,9:01,9:15,produces two negation of xs denoted produces two negation of xs denoted variously in these ways so we will use variously in these ways so we will use variously in these ways so we will use all these notations interchangeably so all these notations interchangeably so all these notations interchangeably so you should remember these notations
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,9:15,9:24,you should remember these notations you should remember these notations negation of x could be represented in negation of x could be represented in negation of x could be represented in any of these ways so we have now seen any of these ways so we have now seen any of these ways so we have now seen for one variable boolean functions now
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,9:24,9:39,for one variable boolean functions now for one variable boolean functions now let us go on to look at two variable let us go on to look at two variable let us go on to look at two variable boolean functions how many two variable boolean functions how many two variable
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,9:39,9:50,boolean functions how many two variable boolean functions could there be let us boolean functions could there be let us boolean functions could there be let us say x and y are the inputs to our two say x and y are the inputs to our two say x and y are the inputs to our two variable boolean functions since there
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,9:50,10:04,variable boolean functions since there variable boolean functions since there are two boolean inputs the possible are two boolean inputs the possible are two boolean inputs the possible inputs are and so these inputs are and so these inputs are and so these four are the form the set of all
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,10:04,10:15,four are the form the set of all four are the form the set of all possible inputs now what could the possible inputs now what could the possible inputs now what could the output be f of x y to specify f of x y output be f of x y to specify f of x y
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,10:15,10:21,output be f of x y to specify f of x y you have to specify a boolean value at you have to specify a boolean value at you have to specify a boolean value at each of these four positions so there each of these four positions so there
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,10:21,10:48,each of these four positions so there are positions to be filled in using are positions to be filled in using are positions to be filled in using amp so there are power which is so there are power which is possibilities let us look at all these possibilities let us look at all these
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,10:48,11:12,possibilities let us look at all these possibilities so enumerate all these possibilities so enumerate all these possibilities so enumerate all these possibilities let us consider all possibilities let us consider all possibilities let us consider all possible inputs and so possible inputs and so possible inputs and so there are vacancies to be filled f of
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,11:12,11:23,there are vacancies to be filled f of there are vacancies to be filled f of x y could be any of these so the x y could be any of these so the x y could be any of these so the first one is and the next one is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,11:23,11:40,first one is and the next one is first one is and the next one is double third one is double double third one is double double third one is double and the fourth one is double and and the fourth one is double and and the fourth one is double and the next one is then
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,11:40,12:01,the next one is then the next one is then these form one half of the these form one half of the these form one half of the possibilities the remaining possibilities the remaining possibilities the remaining possibilities will complement these then possibilities will complement these then possibilities will complement these then we have triple then we have double
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,12:01,12:35,we have triple then we have double we have triple then we have double double double double so those are the so those are the so those are the possibilities so let me number the possibilities so let me number the possibilities so let me number the columns in this fashion starting from
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,12:35,12:48,columns in this fashion starting from columns in this fashion starting from and going up to there are sixteen and going up to there are sixteen and going up to there are sixteen such columns such columns such columns music music music now let us analyze these columns look at
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,12:48,12:53,now let us analyze these columns look at now let us analyze these columns look at the th column the th column produces a the th column the th column produces a the th column the th column produces a irrespective of the input whatever be irrespective of the input whatever be
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,12:53,13:05,irrespective of the input whatever be the values of x and y the output is the values of x and y the output is the values of x and y the output is therefore we call this the function its mirror image its mirror image this column in column the output
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:05,13:15,this column in column the output this column in column the output is irrespective of the input value is irrespective of the input value is irrespective of the input value therefore this function we call now therefore this function we call now therefore this function we call now consider the first column in the first
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:15,13:27,consider the first column in the first consider the first column in the first column the output is precisely when column the output is precisely when column the output is precisely when both the inputs are if either x is both the inputs are if either x is both the inputs are if either x is or y is then the output is the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:27,13:38,or y is then the output is the or y is then the output is the output is precisely when x and y are output is precisely when x and y are output is precisely when x and y are so this is called the and function which so this is called the and function which
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:38,13:47,so this is called the and function which we denote in this manner the and we denote in this manner the and we denote in this manner the and function this is one way of denoting an function this is one way of denoting an function this is one way of denoting an and function its complement is column
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:47,13:58,and function its complement is column and function its complement is column in column the output is if either x in column the output is if either x in column the output is if either x or y is this is the negation of the or y is this is the negation of the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,13:58,14:10,or y is this is the negation of the and function therefore we call it nand and function therefore we call it nand and function therefore we call it nand this is called the nand function column this is called the nand function column this is called the nand function column this the and function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,14:10,14:21,this the and function this the and function now let us look at column in column now let us look at column in column now let us look at column in column the output is precisely when both the the output is precisely when both the the output is precisely when both the inputs are or in other words the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,14:21,14:30,inputs are or in other words the inputs are or in other words the output is if either x or y is output is if either x or y is output is if either x or y is therefore this we called the or function therefore this we called the or function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,14:30,14:41,therefore this we called the or function column is the or function the column is the or function the column is the or function the complement of column is column there complement of column is column there complement of column is column there the output is precisely when both the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,14:41,14:53,the output is precisely when both the the output is precisely when both the inputs are this is called the nor inputs are this is called the nor inputs are this is called the nor function the negation of the or function function the negation of the or function function the negation of the or function which is denoted like this
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,14:53,15:05,now let us come to column six column six now let us come to column six column six is one if either x is or y is but is one if either x is or y is but is one if either x is or y is but not both
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:05,15:11,not both not both that is exactly one of x and y should be that is exactly one of x and y should be that is exactly one of x and y should be one for the output to be one this is one for the output to be one this is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:11,15:27,one for the output to be one this is called the xor function denoted in this called the xor function denoted in this called the xor function denoted in this fashion the complement of that is one fashion the complement of that is one fashion the complement of that is one precisely when both the inputs are same
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:27,15:32,precisely when both the inputs are same precisely when both the inputs are same that is when both the inputs are the that is when both the inputs are the that is when both the inputs are the output is when both the inputs are output is when both the inputs are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:32,15:41,output is when both the inputs are the output is but when one is and the output is but when one is and the output is but when one is and the other is the output is so this the other is the output is so this the other is the output is so this function is called the equivalent
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:41,15:56,function is called the equivalent function is called the equivalent function or the if and only function function or the if and only function function or the if and only function denoted either this way or as an denoted either this way or as an denoted either this way or as an occurrence this is the equivalent
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,15:56,16:15,occurrence this is the equivalent occurrence this is the equivalent function now consider column column function now consider column column function now consider column column is false precisely when x is true but is false precisely when x is true but is false precisely when x is true but y is false this function is called the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,16:15,16:26,y is false this function is called the y is false this function is called the implication function we say x implies y implication function we say x implies y implication function we say x implies y music music music we will have occasion to talk more about we will have occasion to talk more about
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,16:26,16:36,we will have occasion to talk more about the implication function that is column the implication function that is column the implication function that is column the complement of column is column the complement of column is column the complement of column is column which is the negation of implication
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,16:36,16:44,which is the negation of implication which is the negation of implication which we can denote in this fashion now which we can denote in this fashion now which we can denote in this fashion now let us look at column column is let us look at column column is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,16:44,16:57,let us look at column column is column reproduces the x column column reproduces the x column column reproduces the x column therefore this is the identity function therefore this is the identity function therefore this is the identity function in x its complement is which is in x its complement is which is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,16:57,17:13,in x its complement is which is column this is the negation of x now column this is the negation of x now column this is the negation of x now let us look at column which is let us look at column which is let us look at column which is which reproduces input y its complement
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,17:13,17:27,which reproduces input y its complement which reproduces input y its complement is which is column and is which is column and is which is column and therefore it is the negation of y what therefore it is the negation of y what therefore it is the negation of y what remains now column column is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,17:27,17:35,remains now column column is remains now column column is therefore this is the reverse therefore this is the reverse therefore this is the reverse implication comparing it with column implication comparing it with column implication comparing it with column you find that this is the reverse you find that this is the reverse
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,17:35,17:46,you find that this is the reverse implication if column is a forward implication if column is a forward implication if column is a forward implication x implies y then has to implication x implies y then has to implication x implies y then has to be the reverse implication and then its
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,17:46,17:57,be the reverse implication and then its be the reverse implication and then its complement is the negation of the complement is the negation of the complement is the negation of the reverse implication so now we have named reverse implication so now we have named reverse implication so now we have named all the functions so we find that
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,17:57,18:12,all the functions so we find that all the functions so we find that some of these functions are not some of these functions are not some of these functions are not dependent on both the inputs for example dependent on both the inputs for example dependent on both the inputs for example amp are one variable functions then x
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,18:12,18:20,amp are one variable functions then x amp are one variable functions then x y negation of its negation of y are one y negation of its negation of y are one y negation of its negation of y are one variable function sorry amp are variable function sorry amp are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,18:20,18:31,variable function sorry amp are variable functions x y x negation of y variable functions x y x negation of y variable functions x y x negation of y are one variable functions the rest are are one variable functions the rest are are one variable functions the rest are two variable functions
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,18:31,18:52,two variable functions two variable functions in general when you have a function of in general when you have a function of in general when you have a function of this form to specify the function you can draw up to specify the function you can draw up what is called the truth table in the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,18:52,18:59,what is called the truth table in the what is called the truth table in the truth table we list all the inputs to truth table we list all the inputs to truth table we list all the inputs to the function so here there are n inputs the function so here there are n inputs
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,18:59,19:11,the function so here there are n inputs we have one column for each of the we have one column for each of the we have one column for each of the inputs each of the inputs can take on inputs each of the inputs can take on inputs each of the inputs can take on any of the truth values so there are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,19:11,19:18,any of the truth values so there are any of the truth values so there are power n rows in this table corresponding power n rows in this table corresponding power n rows in this table corresponding to the various assignments of the truth to the various assignments of the truth
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,19:18,19:29,to the various assignments of the truth values therefore when you specify the values therefore when you specify the values therefore when you specify the function you have to fill these power function you have to fill these power function you have to fill these power n positions at each position there are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,19:29,20:08,n positions at each position there are n positions at each position there are possibilities or so altogether there possibilities or so altogether there possibilities or so altogether there are two paths to power n possibilities so there are two part power n boolean so there are two part power n boolean functions of this signature
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,20:08,20:19,special cases of this we have already special cases of this we have already seen when n equal to zero there are two seen when n equal to zero there are two seen when n equal to zero there are two power to power which is power equal power to power which is power equal
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,20:19,20:31,power to power which is power equal to boolean functions these are the to boolean functions these are the to boolean functions these are the zero function and the function when n zero function and the function when n zero function and the function when n equal to we have bar bar
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,20:31,20:43,equal to we have bar bar equal to we have bar bar functions which is power which is functions which is power which is functions which is power which is these are x the negation of x and these are x the negation of x and these are x the negation of x and and when n equal to when there are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,20:43,20:54,and when n equal to when there are and when n equal to when there are inputs we have power power which inputs we have power power which inputs we have power power which is power equal to boolean is power equal to boolean is power equal to boolean functions we have seen the list of them
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,20:54,21:13,now consider the truth table of a now consider the truth table of a boolean function let us say its a three boolean function let us say its a three boolean function let us say its a three variable boolean function then there are variable boolean function then there are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,21:13,21:49,variable boolean function then there are eight rows in this truth table these are the eight rows let us say the these are the eight rows let us say the function is specified in this fashion the complement of f also will specify so the complement of f also will specify so a toothed table of a boolean function is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,21:49,22:02,a toothed table of a boolean function is a toothed table of a boolean function is specified in this fashion so this is a specified in this fashion so this is a specified in this fashion so this is a three variable boolean function three variable boolean function three variable boolean function music
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:02,22:29,now let us post this question kandice now let us post this question kandice three variable boolean function be three variable boolean function be three variable boolean function be synthesized using zero one two variable synthesized using zero one two variable synthesized using zero one two variable boolean functions so this is the problem
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:29,22:35,boolean functions so this is the problem boolean functions so this is the problem we want to address we are given the we want to address we are given the we want to address we are given the truth table of a function a boolean truth table of a function a boolean
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:35,22:41,truth table of a function a boolean function of boolean function can be function of boolean function can be function of boolean function can be completely specified by specifying its completely specified by specifying its completely specified by specifying its truth table because this truth table now truth table because this truth table now
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:41,22:49,truth table because this truth table now maps all the possible inputs to the maps all the possible inputs to the maps all the possible inputs to the corresponding outputs so the function is corresponding outputs so the function is corresponding outputs so the function is completely specified by a truth table so
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:49,22:53,completely specified by a truth table so completely specified by a truth table so the function is specified using a truth the function is specified using a truth the function is specified using a truth table and we want to see if the function table and we want to see if the function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,22:53,23:05,table and we want to see if the function can be synthesized using zero one of two can be synthesized using zero one of two can be synthesized using zero one of two variable boolean functions so what will variable boolean functions so what will variable boolean functions so what will come in handy to do this are what are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,23:05,23:40,come in handy to do this are what are come in handy to do this are what are called de morgans laws we say that even is equivalent to e to we say that even is equivalent to e to if and only if the two tables of even if and only if the two tables of even
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,23:40,23:57,if and only if the two tables of even and e are identical that is they and e are identical that is they and e are identical that is they should have exactly the same behavior in should have exactly the same behavior in should have exactly the same behavior in terms of the output that is when we say
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,23:57,24:04,terms of the output that is when we say terms of the output that is when we say that two expressions even and e are that two expressions even and e are that two expressions even and e are equivalent now de morgans laws specify equivalent now de morgans laws specify
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,24:04,24:16,equivalent now de morgans laws specify certain equivalences it says that for certain equivalences it says that for certain equivalences it says that for two boolean variables x and y x or y by two boolean variables x and y x or y by two boolean variables x and y x or y by the way or can be denoted in either of
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,24:16,24:24,the way or can be denoted in either of the way or can be denoted in either of these two ways and an can be denoted these two ways and an can be denoted these two ways and an can be denoted either as this or a concatenation either as this or a concatenation
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,24:24,24:34,either as this or a concatenation in particular when i write x y i mean x in particular when i write x y i mean x in particular when i write x y i mean x and y so de morgans law the first de and y so de morgans law the first de
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,24:34,24:45,and y so de morgans law the first de morgans law says that the complement of morgans law says that the complement of morgans law says that the complement of x or y is the and of x complement and y x or y is the and of x complement and y
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,24:45,25:00,x or y is the and of x complement and y complement the second de morgans law complement the second de morgans law complement the second de morgans law says that the complement of the and of x says that the complement of the and of x says that the complement of the and of x and y is the or of x complement and y
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,25:00,25:10,and y is the or of x complement and y and y is the or of x complement and y compliment by the way and and is also compliment by the way and and is also compliment by the way and and is also called a conjunction and an order is
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,25:10,25:31,called a conjunction and an order is called a conjunction and an order is also called a disjunction you should be also called a disjunction you should be also called a disjunction you should be familiar with these words so these are the two de morgans laws we so these are the two de morgans laws we say that these two are equivalent the
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,25:31,25:45,say that these two are equivalent the say that these two are equivalent the lefthand side is equivalent to the lefthand side is equivalent to the lefthand side is equivalent to the righthand side but how do we show this righthand side but how do we show this righthand side but how do we show this we can show this using two tables so the
